location_station_id,location_station_name,location_province,location_district,location_latitude,location_longitude,timestamp,data_source,data_quality,data_time,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability,y_true,y_pred,abs_err
Sa Thầy,Sa Thầy,Kon Tum,Châu Thành,13.2167,106.3366,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,8.8,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,8.8,0.17441110092787698,8.625588899072124
BK_PT,Huyện Pác Nặm - Bắc Kạn,Bắc Kạn,Pác Nặm,22.6333,105.6667,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,24.2,25.5,17.4,19.9,71.0,100.0,66.0,86.8,1015.8,1023.6,1008.1,1016.6,5.8,9.4,0.4,4.4,210.0,172.2,0.0,0.9,0.0,0.4,9.9,34.0,67.0,38.0,30.0,11.0,18.0,2.0,11.0,27.0,9.9,1.2928996613785677,8.607100338621432
Yên Thế,Yên Thế,Bắc Giang,Châu Thành,13.2167,106.3366,2026-02-16 09:36:00,openmeteo,medium,2026-02-16 09:36:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,9.2,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,9.2,0.9762614118846967,8.223738588115303
PY_DD,Huyện Đông Hòa - Phú Yên,Phú Yên,Đông Hòa,12.9833,109.3667,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,25.4,28.7,19.8,23.7,84.0,99.0,61.0,84.8,1013.9,1018.5,1008.7,1014.3,10.4,20.1,0.4,7.9,44.0,34.9,0.0,0.5,0.0,0.4,8.5,33.0,87.0,31.0,41.0,10.0,20.0,2.0,9.0,5.0,8.5,0.4171027126191366,8.082897287380863
QT_GL,Huyện Gio Linh - Quảng Trị,Quảng Trị,Gio Linh,16.9167,107.05,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,27.7,29.1,18.4,23.5,67.0,100.0,61.0,86.6,1014.4,1020.3,1009.1,1015.0,11.7,16.7,0.0,7.0,79.0,55.2,0.0,0.8,0.0,0.3,8.3,58.0,86.0,24.0,57.0,11.0,15.0,4.0,6.0,30.0,8.3,0.4200126517101712,7.87998734828983
QT_DH,Thành phố Đông Hà - Quảng Trị,Quảng Trị,Đông Hà,16.816,107.1,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,26.8,28.5,17.8,22.9,69.0,100.0,61.0,86.6,1014.9,1020.3,1009.1,1015.0,10.5,16.7,0.0,7.0,82.0,55.2,0.0,0.8,0.0,0.3,8.3,76.0,88.0,24.0,56.0,6.0,17.0,8.0,7.0,11.0,8.3,0.43645522330541614,7.863544776694584
La Dạ 2,La Dạ 2,Bình Thuận,Châu Thành,13.2167,106.3366,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,7.4,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,7.4,0.07705809850087822,7.322941901499122
QT_TL,Huyện Triệu Phong - Quảng Trị,Quảng Trị,Triệu Phong,16.7833,107.1667,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,26.7,28.6,19.1,23.4,70.0,100.0,59.0,85.4,1014.8,1020.5,1007.5,1014.9,9.4,18.2,0.4,7.1,86.0,55.3,0.0,0.6,0.0,0.3,7.2,28.0,65.0,32.0,32.0,14.0,10.0,5.0,11.0,0.0,7.2,0.4197993461987111,6.780200653801289
QB_DH,Thành phố Đồng Hới - Quảng Bình,Quảng Bình,Đồng Hới,17.4687,106.6227,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,25.7,26.8,18.0,21.9,74.0,100.0,68.0,88.7,1014.7,1021.0,1009.5,1015.6,10.3,13.3,0.4,5.7,78.0,64.8,0.0,0.7,0.0,0.3,7.2,59.0,65.0,18.0,47.0,9.0,17.0,6.0,7.0,23.0,7.2,0.44845411633170473,6.751545883668295
Nhạn Môn,Nhạn Môn,Bắc Kạn,Châu Thành,13.2167,106.3366,2026-02-16 09:36:00,openmeteo,medium,2026-02-16 09:36:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,7.4,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,7.4,1.1369743843631641,6.2630256156368365
Bằng Lũng,Bằng Lũng,Bắc Kạn,Châu Thành,13.2167,106.3366,2026-02-16 09:36:00,openmeteo,medium,2026-02-16 09:36:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,7.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,7.0,1.1369743843631641,5.863025615636836
KG_TC,Đảo Thổ Chu - Kiên Giang,Kiên Giang,Phú Quốc,9.3,103.4833,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,26.5,27.5,26.0,26.7,78.0,83.0,71.0,77.2,1011.4,1014.5,1006.5,1010.5,17.0,24.6,1.8,12.4,85.0,101.6,0.0,1.3,0.0,0.2,5.8,42.0,69.0,15.0,65.0,14.0,18.0,6.0,12.0,11.0,5.8,0.453238059856758,5.346761940143242
