station_id,station_name,province,province_std,district,latitude,longitude,timestamp,data_time,data_source,data_quality,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability,status,_source_file,_file_date,error_reason,_province_std
TV_TV,Thành phố Trà Vinh - Trà Vinh,Trà Vinh,Tra Vinh,Trà Vinh,9.9347,106.3453,2026-03-09 14:10:39,2026-03-09 14:00:00,openmeteo,medium,31.0,32.2,23.9,27.3,57.0,93.0,45.0,71.7,1011.0,1014.7,1008.9,1011.8,14.9,27.4,6.5,14.9,83.0,85.6,0.0,0.2,0.0,0.0,0.6,80.0,78.0,19.0,61.0,6.0,13.0,6.0,9.0,16.0,,Bao_cao_20260309_141112.xlsx,20260309,,Tra Vinh
TV_CL,Huyện Càng Long - Trà Vinh,Trà Vinh,Tra Vinh,Càng Long,9.9667,106.2,2026-03-09 14:10:41,2026-03-09 14:00:00,openmeteo,medium,31.2,32.6,23.2,27.2,60.0,96.0,45.0,72.8,1010.9,1014.7,1008.6,1011.8,10.1,25.0,5.1,12.0,84.0,87.4,0.0,0.3,0.0,0.1,1.5,23.0,91.0,21.0,30.0,11.0,13.0,2.0,7.0,0.0,,Bao_cao_20260309_141112.xlsx,20260309,,Tra Vinh
TV_CN,Huyện Cầu Ngang - Trà Vinh,Trà Vinh,Tra Vinh,Cầu Ngang,9.8,106.4333,2026-03-09 14:10:43,2026-03-09 14:00:00,openmeteo,medium,30.9,31.9,24.0,27.2,56.0,93.0,47.0,72.2,1011.1,1014.7,1008.9,1011.8,17.2,28.2,6.6,15.9,80.0,84.3,0.0,0.3,0.0,0.0,0.4,72.0,83.0,26.0,32.0,7.0,20.0,5.0,9.0,7.0,,Bao_cao_20260309_141112.xlsx,20260309,,Tra Vinh
TV_TV,Thành phố Trà Vinh - Trà Vinh,Trà Vinh,Tra Vinh,Trà Vinh,9.9347,106.3453,2026-03-09 14:36:51,2026-03-09 14:30:00,openmeteo,medium,31.2,32.2,23.9,27.3,55.0,93.0,45.0,71.7,1010.6,1014.7,1008.9,1011.8,15.5,27.4,6.5,14.9,85.0,85.6,0.0,0.2,0.0,0.0,0.6,49.0,71.0,13.0,51.0,11.0,15.0,8.0,8.0,7.0,,Bao_cao_20260309_143724.xlsx,20260309,,Tra Vinh
TV_CL,Huyện Càng Long - Trà Vinh,Trà Vinh,Tra Vinh,Càng Long,9.9667,106.2,2026-03-09 14:36:53,2026-03-09 14:30:00,openmeteo,medium,31.2,32.6,23.2,27.2,58.0,96.0,45.0,72.8,1010.5,1014.7,1008.6,1011.8,11.5,25.0,5.1,12.0,88.0,87.4,0.0,0.3,0.0,0.1,1.5,42.0,78.0,16.0,42.0,6.0,18.0,8.0,12.0,21.0,,Bao_cao_20260309_143724.xlsx,20260309,,Tra Vinh
TV_CN,Huyện Cầu Ngang - Trà Vinh,Trà Vinh,Tra Vinh,Cầu Ngang,9.8,106.4333,2026-03-09 14:36:55,2026-03-09 14:30:00,openmeteo,medium,31.0,31.9,24.0,27.2,55.0,93.0,47.0,72.2,1010.7,1014.7,1008.9,1011.8,17.5,28.2,6.6,15.9,82.0,84.3,0.0,0.3,0.0,0.0,0.4,72.0,89.0,30.0,36.0,6.0,15.0,5.0,7.0,29.0,,Bao_cao_20260309_143724.xlsx,20260309,,Tra Vinh
TV_TV,Thành phố Trà Vinh - Trà Vinh,Trà Vinh,Tra Vinh,Trà Vinh,9.9347,106.3453,2026-03-09 14:52:42,2026-03-09 21:45:00,openmeteo,medium,25.3,32.2,23.9,27.3,88.0,93.0,43.0,71.4,1012.8,1014.7,1008.6,1011.7,11.3,29.4,5.1,15.2,97.0,85.2,0.0,0.2,0.0,0.0,0.6,48.0,68.0,17.0,51.0,7.0,11.0,7.0,7.0,11.0,,Bao_cao_20260309_145315.xlsx,20260309,,Tra Vinh
TV_CL,Huyện Càng Long - Trà Vinh,Trà Vinh,Tra Vinh,Càng Long,9.9667,106.2,2026-03-09 14:52:44,2026-03-09 21:45:00,openmeteo,medium,25.2,32.9,23.2,27.3,87.0,96.0,43.0,72.2,1012.7,1014.7,1008.3,1011.7,10.3,26.3,4.2,12.3,102.0,87.1,0.0,0.2,0.0,0.0,0.5,60.0,88.0,35.0,59.0,8.0,10.0,4.0,8.0,7.0,,Bao_cao_20260309_145315.xlsx,20260309,,Tra Vinh
TV_CN,Huyện Cầu Ngang - Trà Vinh,Trà Vinh,Tra Vinh,Cầu Ngang,9.8,106.4333,2026-03-09 14:52:46,2026-03-09 21:45:00,openmeteo,medium,25.1,31.9,24.0,27.2,89.0,93.0,43.0,71.9,1012.8,1014.7,1008.7,1011.7,10.5,30.4,6.3,16.1,94.0,84.0,0.0,0.3,0.0,0.0,0.6,49.0,88.0,39.0,62.0,8.0,11.0,5.0,7.0,0.0,,Bao_cao_20260309_145315.xlsx,20260309,,Tra Vinh
TV_TV,Thành phố Trà Vinh - Trà Vinh,Trà Vinh,Tra Vinh,Trà Vinh,9.9347,106.3453,2026-03-09 15:15:48,2026-03-09 22:15:00,openmeteo,medium,25.2,32.2,23.9,27.3,88.0,93.0,43.0,71.4,1012.9,1014.7,1008.6,1011.7,11.3,29.4,5.1,15.2,99.0,85.2,0.0,0.2,0.0,0.0,0.6,70.0,83.0,39.0,59.0,5.0,18.0,4.0,12.0,20.0,,Bao_cao_20260309_151622.xlsx,20260309,,Tra Vinh
