station_id,station_name,province,district,rain_total,status,timestamp,data_time
Lương Tâm,Lương Tâm,Cần Thơ,xã Lương Tâm,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Khu bảo tồn Lung Ngọc Hoàng,Khu bảo tồn Lung Ngọc Hoàng,Cần Thơ,xã Phương Bình,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Vĩnh Châu,Vĩnh Châu,Cần Thơ,phường Vĩnh Châu,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Giồng Trôm,Giồng Trôm,Vĩnh Long,xã Giồng Trôm,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Định Trung,Định Trung,Vĩnh Long,xã Thạnh Trị,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Trà Ôn,Trà Ôn,Vĩnh Long,xã Trà Ôn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Bến Gia,Bến Gia,Vĩnh Long,phường Trường Long Hòa,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Mỏ Cày,Mỏ Cày,Vĩnh Long,xã Mỏ Cày,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Vĩnh Long,Vĩnh Long,Vĩnh Long,xã Song Phú,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Tiểu Cần,Tiểu Cần,Vĩnh Long,xã Tiểu Cần,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Phú Khánh,Phú Khánh,Vĩnh Long,xã Đại Điền,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cẩm Sơn,Cẩm Sơn,Vĩnh Long,xã Hương Mỹ,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Hương Mỹ,Hương Mỹ,Vĩnh Long,xã Hương Mỹ,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
